Player_name,Img,Team,Back_no,Position,Height/Weight,Record
박윤성,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/53301.jpg,키움,35,투수(우투우타),183cm/96kg,"[{'Year': '2024', 'Team': '키움', 'ERA': '5.79', 'Win': '0', 'Lose': '0'}, {'Year': '2025', 'Team': '키움', 'ERA': '3.76', 'Win': '0', 'Lose': '5'}, {'ERA': '4.60', 'Win': '0', 'Lose': '5'}]"
박치국,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/67266.jpg,두산,1,투수(우언우타),177cm/78kg,"[{'Year': '2017', 'Team': '두산', 'ERA': '6.75', 'Win': '1', 'Lose': '1'}, {'Year': '2018', 'Team': '두산', 'ERA': '3.63', 'Win': '1', 'Lose': '5'}, {'Year': '2019', 'Team': '두산', 'ERA': '4.50', 'Win': '2', 'Lose': '2'}, {'Year': '2020', 'Team': '두산', 'ERA': '2.89', 'Win': '4', 'Lose': '4'}, {'Year': '2021', 'Team': '두산', 'ERA': '4.09', 'Win': '2', 'Lose': '1'}, {'Year': '2022', 'Team': '두산', 'ERA': '5.40', 'Win': '1', 'Lose': '2'}, {'Year': '2023', 'Team': '두산', 'ERA': '3.59', 'Win': '5', 'Lose': '3'}, {'Year': '2024', 'Team': '두산', 'ERA': '6.38', 'Win': '2', 'Lose': '3'}, {'Year': '2025', 'Team': '두산', 'ERA': '3.11', 'Win': '1', 'Lose': '1'}, {'ERA': '4.22', 'Win': '19', 'Lose': '22'}]"
배재환,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/64995.jpg,NC,61,투수(우투우타),186cm/95kg,"[{'Year': '2015', 'Team': 'NC', 'ERA': '18.00', 'Win': '0', 'Lose': '0'}, {'Year': '2016', 'Team': 'NC', 'ERA': '4.09', 'Win': '1', 'Lose': '1'}, {'Year': '2017', 'Team': 'NC', 'ERA': '9.00', 'Win': '0', 'Lose': '1'}, {'Year': '2018', 'Team': 'NC', 'ERA': '4.50', 'Win': '3', 'Lose': '3'}, {'Year': '2019', 'Team': 'NC', 'ERA': '3.81', 'Win': '3', 'Lose': '5'}, {'Year': '2020', 'Team': 'NC', 'ERA': '3.98', 'Win': '1', 'Lose': '3'}, {'Year': '2024', 'Team': 'NC', 'ERA': '7.32', 'Win': '0', 'Lose': '1'}, {'Year': '2025', 'Team': 'NC', 'ERA': '3.86', 'Win': '1', 'Lose': '2'}, {'ERA': '4.58', 'Win': '9', 'Lose': '16'}]"
배제성,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/65516.jpg,KT,19,투수(우투좌타),190cm/90kg,"[{'Year': '2017', 'Team': 'KT', 'ERA': '8.72', 'Win': '0', 'Lose': '0'}, {'Year': '2018', 'Team': 'KT', 'ERA': '0.00', 'Win': '0', 'Lose': '0'}, {'Year': '2019', 'Team': 'KT', 'ERA': '3.76', 'Win': '10', 'Lose': '10'}, {'Year': '2020', 'Team': 'KT', 'ERA': '3.95', 'Win': '10', 'Lose': '7'}, {'Year': '2021', 'Team': 'KT', 'ERA': '3.68', 'Win': '9', 'Lose': '10'}, {'Year': '2022', 'Team': 'KT', 'ERA': '4.21', 'Win': '3', 'Lose': '9'}, {'Year': '2023', 'Team': 'KT', 'ERA': '4.49', 'Win': '8', 'Lose': '10'}, {'Year': '2025', 'Team': 'KT', 'ERA': '2.89', 'Win': '1', 'Lose': '1'}, {'ERA': '4.18', 'Win': '41', 'Lose': '47'}]"
배찬승,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/55455.jpg,삼성,55,투수(좌투좌타),180cm/85kg,"[{'Year': '2025', 'Team': '삼성', 'ERA': '4.13', 'Win': '0', 'Lose': '1'}, {'ERA': '4.13', 'Win': '0', 'Lose': '1'}]"
백승현,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/65109.jpg,LG,61,투수(우투우타),183cm/90kg,"[{'Year': '2021', 'Team': 'LG', 'ERA': '2.16', 'Win': '0', 'Lose': '0'}, {'Year': '2022', 'Team': 'LG', 'ERA': '10.80', 'Win': '0', 'Lose': '1'}, {'Year': '2023', 'Team': 'LG', 'ERA': '1.58', 'Win': '2', 'Lose': '0'}, {'Year': '2024', 'Team': 'LG', 'ERA': '9.11', 'Win': '2', 'Lose': '1'}, {'Year': '2025', 'Team': 'LG', 'ERA': '3.00', 'Win': '1', 'Lose': '0'}, {'ERA': '4.49', 'Win': '5', 'Lose': '2'}]"
성영탁,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/54610.jpg,KIA,65,투수(우투우타),180cm/89kg,"[{'Year': '2025', 'Team': 'KIA', 'ERA': '0.81', 'Win': '1', 'Lose': '0'}, {'ERA': '0.81', 'Win': '1', 'Lose': '0'}]"
소이현,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/67962.jpg,NC,50,투수(우투우타),185cm/93kg,"[{'Year': '2019', 'Team': 'NC', 'ERA': '0.00', 'Win': '0', 'Lose': '0'}, {'Year': '2020', 'Team': 'NC', 'ERA': '6.57', 'Win': '0', 'Lose': '0'}, {'Year': '2021', 'Team': 'NC', 'ERA': '6.75', 'Win': '0', 'Lose': '0'}, {'Year': '2024', 'Team': 'NC', 'ERA': '13.50', 'Win': '0', 'Lose': '0'}, {'Year': '2025', 'Team': 'NC', 'ERA': '0.00', 'Win': '0', 'Lose': '0'}, {'ERA': '6.83', 'Win': '0', 'Lose': '0'}]"
소형준,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50030.jpg,KT,30,투수(우투우타),189cm/92kg,"[{'Year': '2020', 'Team': 'KT', 'ERA': '3.86', 'Win': '13', 'Lose': '6'}, {'Year': '2021', 'Team': 'KT', 'ERA': '4.16', 'Win': '7', 'Lose': '7'}, {'Year': '2022', 'Team': 'KT', 'ERA': '3.05', 'Win': '13', 'Lose': '6'}, {'Year': '2023', 'Team': 'KT', 'ERA': '11.45', 'Win': '0', 'Lose': '0'}, {'Year': '2024', 'Team': 'KT', 'ERA': '3.24', 'Win': '2', 'Lose': '0'}, {'Year': '2025', 'Team': 'KT', 'ERA': '2.99', 'Win': '6', 'Lose': '2'}, {'ERA': '3.66', 'Win': '41', 'Lose': '21'}]"
손동현,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/69041.jpg,KT,41,투수(우투우타),183cm/88kg,"[{'Year': '2019', 'Team': 'KT', 'ERA': '4.75', 'Win': '2', 'Lose': '3'}, {'Year': '2020', 'Team': 'KT', 'ERA': '5.31', 'Win': '0', 'Lose': '0'}, {'Year': '2023', 'Team': 'KT', 'ERA': '3.42', 'Win': '8', 'Lose': '5'}, {'Year': '2024', 'Team': 'KT', 'ERA': '5.32', 'Win': '1', 'Lose': '2'}, {'Year': '2025', 'Team': 'KT', 'ERA': '0.89', 'Win': '3', 'Lose': '0'}, {'ERA': '3.95', 'Win': '14', 'Lose': '10'}]"
